epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.02055969648063183,0.00140862085390836,0.010555727407336235,0.000194537962670438
1,0.008108820766210556,0.00012218554911669344,0.011373905465006828,0.00020758379832841456
2,0.007651104126125574,0.00011081001866841689,0.010286500677466393,0.0001836945884861052
3,0.00740851229056716,0.00010628256131894886,0.010605331510305405,0.00020554069487843663
4,0.007221388164907694,0.00010129406291525811,0.010340013541281223,0.0001931714068632573
5,0.007070703431963921,9.98608156805858e-05,0.010815128684043884,0.00020481825049500912
6,0.006898600608110428,9.596304880687967e-05,0.010723245330154896,0.00020244426559656858
7,0.007105051074177027,9.884087921818718e-05,0.012298205867409706,0.00024649532861076295
8,0.006976001895964146,9.585355292074382e-05,0.00995535310357809,0.00018113167607225478
9,0.0068693277426064014,9.335926733911037e-05,0.009523584507405758,0.00017080336692743003
10,0.006769780069589615,9.227432747138664e-05,0.009717816486954689,0.0001744984183460474
11,0.006614409852772951,8.89586954144761e-05,0.009638077579438686,0.00017192245286423713
12,0.0067182667553424835,9.091618267120793e-05,0.009447712451219559,0.00016538544150535017
13,0.006687317043542862,8.924409485189244e-05,0.009792809374630451,0.00017658981960266829
14,0.006565631367266178,8.749982953304425e-05,0.008243986405432224,0.00013944166130386293
15,0.006398455705493689,8.398296631639823e-05,0.00882707815617323,0.00015239379717968404
16,0.006479378789663315,8.576492837164551e-05,0.008238889276981354,0.00013553828466683626
17,0.006397336255759001,8.323376096086577e-05,0.00822263490408659,0.00014028565783519298
18,0.006493645254522562,8.488535968353972e-05,0.008713656105101109,0.00014883351104799658
19,0.006343064364045858,8.300301124108955e-05,0.009045032784342766,0.00015787449956405908
20,0.006302275229245424,8.2516620750539e-05,0.008174668997526169,0.00013640287215821445
21,0.006300829350948334,8.252778934547678e-05,0.007949486374855042,0.00013072064029984176
22,0.006190611980855465,8.028923912206665e-05,0.00822561513632536,0.00013760766887571663
23,0.00625390000641346,8.080748375505209e-05,0.007975137792527676,0.00013257940008770674
24,0.006213638465851545,8.047859591897577e-05,0.007925642654299736,0.00013073264562990516
25,0.006135647650808096,7.895031740190461e-05,0.008398812264204025,0.00014128362818155438
26,0.006112774834036827,7.873127469792962e-05,0.008538622409105301,0.0001440523046767339
27,0.006083079148083925,7.777225255267695e-05,0.008256147615611553,0.0001365760836051777
28,0.006067133042961359,7.736460247542709e-05,0.008031681180000305,0.00013268632756080478
29,0.005991888232529163,7.625924627063796e-05,0.008217575959861279,0.00013529928401112556
