epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
0,0.02824227139353752,0.002000057604163885,0.015509205870330334,0.0004365589120425284
1,0.009951061569154263,0.00019566867558751255,0.010078503750264645,0.00019767020421568304
2,0.007043072022497654,0.00010627316805766895,0.007772156037390232,0.00013512535952031612
3,0.005992775782942772,7.906647078925744e-05,0.006838256027549505,0.00010458259930601344
4,0.005388891324400902,6.793345528421924e-05,0.006318504456430674,8.81506857695058e-05
5,0.0049266391433775425,6.009660501149483e-05,0.006102473475039005,8.056675142142922e-05
6,0.005179017316550016,6.327347364276648e-05,0.005309779662638903,6.71469751978293e-05
7,0.004586952272802591,5.539599442272447e-05,0.005858893506228924,7.085752440616488e-05
8,0.004247118253260851,5.097234679851681e-05,0.005128293298184872,6.219818897079676e-05
9,0.0043482184410095215,5.174779653316364e-05,0.0049377307295799255,5.9514717577258125e-05
10,0.004225361626595259,5.053747372585349e-05,0.005007533822208643,5.755845631938428e-05
11,0.004312477074563503,5.11802572873421e-05,0.0048979828134179115,5.807894194731489e-05
12,0.004130809102207422,4.9368696636520326e-05,0.005370093509554863,5.9405250794952735e-05
13,0.004180673509836197,4.992699177819304e-05,0.005033989902585745,5.911817788728513e-05
14,0.0038739070296287537,4.6315137296915054e-05,0.004964348394423723,5.4592495871474966e-05
15,0.004021544475108385,4.7831028496148065e-05,0.004645242355763912,5.4825301049277186e-05
16,0.0039180913008749485,4.712697409559041e-05,0.0052977376617491245,5.6226188462460414e-05
17,0.003887237049639225,4.6473338443320245e-05,0.006669461727142334,7.378456939477473e-05
18,0.004405374173074961,5.1222559704910964e-05,0.004873025231063366,5.7353612646693364e-05
19,0.003756576683372259,4.4445914682000875e-05,0.004526354838162661,5.1898994570365176e-05
20,0.003712570061907172,4.420099867274985e-05,0.004581589717417955,5.4160987929208204e-05
21,0.003664553165435791,4.419638207764365e-05,0.005410090088844299,5.6427456001983956e-05
22,0.0042891488410532475,5.0029149861074984e-05,0.004817387089133263,5.294021684676409e-05
23,0.003636169945821166,4.433708454598673e-05,0.004582758527249098,5.06355645484291e-05
24,0.00356348417699337,4.321481901570223e-05,0.00620459858328104,7.343550532823429e-05
25,0.003687544260174036,4.417261516209692e-05,0.004789616912603378,5.1578314014477655e-05
26,0.003578154370188713,4.342212560004555e-05,0.004935808014124632,5.127012263983488e-05
27,0.003714601742103696,4.3956850277027115e-05,0.004423146601766348,4.9561072955839336e-05
28,0.0035923137329518795,4.318361607147381e-05,0.004656920209527016,5.0070917495759204e-05
29,0.003721306100487709,4.469033592613414e-05,0.004552595317363739,5.377585694077425e-05
